id,pair,dir,entry,tp,sl,tpPct,slPct,result,profitPct,roiPct,leverage,rsiTier,score,tier,labels,entryTime,closeTime

"loyhoyhx4n9","BLESSUSDT","LONG",0.026467226999999996,0.030499,0.025395839999999996,"15.29","4.00","LOSS",-4.404053925634131,-66.06,15,"T1",120,"ULTRA_HIGH","RSI 48|Manipulation|Chandelier Sniper 🔫|EMA200 Bull 🧭|Vol 1.9x 🚀|OI Expansion 🔥|🔥 Social Hype",1785996436990,1785997794393
"l9fay60lt1","SNXXUSDT","SHORT",9.1954,8.611199999999998,9.1954,"6.40","4.00","LOSS",-0.16002501250625245,-2.4,15,"T1",68,"MEDIUM","RSI 37|Chandelier Sniper 🔫|EMA200 Bear 🧭|Vol 1.8x 🚀|⚠️ Retail Trap",1786013100285,1786015878354
"cy8vvrodn5l","SNXXUSDT","SHORT",8.765615,8.20872,8.765615,"6.40","4.00","LOSS",-1.2560577495132947,-18.84,15,"T1",80,"HIGH","RSI 32|Chandelier Sniper 🔫|EMA200 Bear 🧭|Vol 2.1x 🚀|🛡️ Killzone Shield",1786022290202,1786023322314
"yhzvnuzkiqh","KORUUSDT","SHORT",16.101945,15.078959999999999,16.101945,"6.40","4.00","LOSS",-1.2157980883675887,-18.24,15,"T1",80,"HIGH","RSI 39|Chandelier Sniper 🔫|EMA200 Bear 🧭|Vol 2.2x 🚀|🛡️ Killzone Shield",1786022291010,1786023381697
"wjid81iv3ne","ONUSDT","LONG",0.332536185,0.35364168,0.3190752,"6.40","4.00","LOSS",-4.277385573392554,-64.16,15,"T1",80,"HIGH","RSI 61|Chandelier Sniper 🔫|EMA200 Bull 🧭|Vol 1.5x 🚀|🛡️ Killzone Shield",1786022462909,1786023562303
"y2jcmmbf9se","HFTUSDT","LONG",0.02871435,0.03077,0.02871435,"7.21","4.00","WIN",10.113633827685454,151.7,15,"T1",95,"ULTRA_HIGH","RSI 59|Chandelier Sniper 🔫|EMA200 Bull 🧭|Vol 3.6x 🚀|OI Expansion 🔥|🛡️ Killzone Shield",1786023444840,1786023707550
"mzbe3qhggoa","HFTUSDT","LONG",0.02871435,0.03077,0.02871435,"7.21","4.00","WIN",9.730550108221149,145.96,15,"T1",65,"MEDIUM","RSI 59|Chandelier Sniper 🔫|EMA200 Bull 🧭|Vol 3.6x 🚀|OI Expansion 🔥|🛡️ Killzone Shield",1786023439037,1786023710284
"gd66nn7ow0q","SNDKUSDT","SHORT",1198.190605,1136.5603040000003,1237.6835599999997,"5.19","3.24","LOSS",-3.4665705833588953,-52,15,"T1",80,"HIGH","RSI 32|Chandelier Sniper 🔫|EMA200 Bear 🧭|Vol 1.5x 🚀|🛡️ Killzone Shield",1786022284444,1786023724920
