id,pair,dir,entry,tp,sl,tpPct,slPct,result,profitPct,roiPct,leverage,rsiTier,score,tier,labels,entryTime,closeTime

"1zzm5g4agvc","KOMAUSDT","LONG",0.014413203,0.015327984000000001,0.014413203,"6.40","4.00","WIN",14.670038829675818,220.05,15,"T1",95,"ULTRA_HIGH","RSI 62|Chandelier Sniper 🔫|EMA200 Bull 🧭|Vol 2.0x 🚀|OI Expansion 🔥",1785463692410,1785464236883
"ffsjcrqag4w","ONUSDT","LONG",0.24078033,0.25606224000000005,0.2310336,"6.40","4.00","LOSS",-5.400261874796828,-81,15,"T1",125,"ULTRA_HIGH","RSI 64|Chandelier Sniper 🔫|EMA200 Bull 🧭|Vol 1.9x 🚀|OI Expansion 🔥",1785466632509,1785467146621
"hgxncest6wc","COTIUSDT","SHORT",0.0131184375,0.012284999999999999,0.0131184375,"6.40","4.00","LOSS",-0.5487908239834227,-8.23,15,"T1",80,"HIGH","RSI 49|Chandelier Sniper 🔫|EMA200 Bear 🧭|Vol 1.6x 🚀",1785463511471,1785471316604
"rl1hi9n29c8","CAPUSDT","LONG",0.037508745,0.039889360000000006,0.0359904,"6.40","4.00","LOSS",-10.852201585256994,-162.78,15,"T1",80,"HIGH","RSI 60|Chandelier Sniper 🔫|EMA200 Bull 🧭|Vol 1.8x 🚀|🛡️ Killzone Shield",1785483744104,1785484784444
"us12lpm4i5p","KOMAUSDT","LONG",0.022987487999999997,0.024446464,0.02205696,"6.40","4.00","LOSS",-4.923435900434166,-73.85,15,"T1",78,"HIGH","RSI 67|Chandelier Sniper 🔫|EMA200 Bull 🧭|Vol 3.4x 🚀|⚠️ Retail Trap|🔥 Social Hype|🛡️ Killzone Shield",1785484683481,1785485384430
